 	Skeleton ID	Branch length	V1 x	V1 y	V1 z	V2 x	V2 y	V2 z	Euclidean distance
1	1	48.728	44	20	0	44	65	0	45
2	1	43.870	68	59	0	99	37	0	38.013
3	1	40.042	8	36	0	30	48	0	25.060
4	1	34.971	58	89	0	68	59	0	31.623
5	1	34.728	44	65	0	54	97	0	33.526
6	1	34.485	68	59	0	70	27	0	32.062
7	1	29.971	80	95	0	95	77	0	23.431
8	1	29.142	102	108	0	104	83	0	25.080
9	1	25.728	65	5	0	70	27	0	22.561
10	1	21.314	70	27	0	78	9	0	19.698
11	1	19.485	91	95	0	95	77	0	18.439
12	1	17.899	67	88	0	80	95	0	14.765
13	1	17.728	30	48	0	39	62	0	16.643
14	1	17.485	23	9	0	32	16	0	11.402
15	1	16.071	107	67	0	102	80	0	13.928
16	1	14.828	46	6	0	44	20	0	14.142
17	1	12.899	107	29	0	99	37	0	11.314
18	1	12.828	107	96	0	102	80	0	16.763
19	1	12.657	3	47	0	8	36	0	12.083
20	1	12.243	4	25	0	8	36	0	11.705
21	1	11.899	34	12	0	44	20	0	12.806
22	1	11.071	58	89	0	67	88	0	9.055
23	1	10.243	44	95	0	52	99	0	8.944
24	1	8.828	107	44	0	99	37	0	10.630
25	1	8.243	54	97	0	58	89	0	8.944
26	1	7.828	55	107	0	44	20	0	87.693
27	1	7.828	54	97	0	62	99	0	8.246
28	1	6.243	95	77	0	102	80	0	7.616
29	1	5.828	67	93	0	67	88	0	5
30	1	5.414	33	7	0	34	12	0	5.099
31	1	5.243	27	52	0	30	48	0	5
32	1	5.243	39	62	0	44	65	0	5.831
33	1	4.828	67	108	0	67	88	0	20
34	1	4	5	20	0	4	25	0	5.099
35	1	3.828	32	16	0	34	12	0	4.472
36	1	3.414	77	6	0	78	9	0	3.162
37	1	2.828	62	105	0	64	103	0	2.828
38	1	2.828	64	97	0	62	99	0	2.828
39	1	2.828	66	99	0	64	101	0	2.828
40	1	2.828	52	99	0	54	97	0	2.828
41	1	2.828	62	99	0	64	101	0	2.828
42	1	2.414	35	18	0	32	16	0	3.606
43	1	2.414	81	97	0	80	95	0	2.236
44	1	2.414	102	80	0	104	83	0	3.606
45	1	2	64	101	0	64	103	0	2
46	1	1.414	80	8	0	78	9	0	2.236
47	1	1.414	98	75	0	95	77	0	3.606
48	1	1	3	25	0	4	25	0	1
49	1	1	40	60	0	39	62	0	2.236
50	1	1	98	37	0	99	37	0	1
